bigregn_code	bigregn_name	dc_code	dc_name	regn_code	regn_name	area_code	area_name	city_code	city_name	compete_store	hig_md_low_level	store_type	flop_type_name	innovate_type_name	openbusi_dt	store_code	store_name	subregn_code	subregn_name	is_enabled	deleted	sync_time
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550024	深圳_梁汉钢	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0001	深圳宝安区圣淘沙店	F0755004	深圳_吴楚伟	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207510001	深圳闭店	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0002	深圳罗湖区红宝路1店	075100	深圳闭店	0	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550004	深圳_陈林龙	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0003	深圳福田区梅华路店	F0755004	深圳_吴楚伟	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550029	深圳_王靖	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0004	深圳福田区景田店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550040	深圳_周辉程	0101	深圳	未分类	中档店	封闭店		非创新店	2009-01-01	0005	深圳宝安区富通苑店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550035	深圳_张奇锋	0101	深圳	未分类	中档店	封闭店		非创新店	2009-01-01	0006	深圳罗湖区海富花园店	F0755008	深圳_刘易斯	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550034	深圳_杨静	0101	深圳	未分类	中档店	封闭店		非创新店	2009-01-01	0007	深圳龙岗区四季花城店	F0755008	深圳_刘易斯	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550010	深圳_方茜	0101	深圳	未分类	尖高端店	封闭店		创新店	2009-01-01	0008	深圳南山区蔚蓝海岸店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550009	深圳_吴少恭	0101	深圳	未分类	尖高端店	封闭店		非创新店	2009-01-01	0009	深圳福田区中康路店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550009	深圳_吴少恭	0101	深圳	未分类	高档店	封闭店		非创新店	2008-12-23	0010	深圳罗湖区松泉山庄店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207510001	深圳闭店	0101	深圳	未分类	未分类	其他		非创新店	2009-01-01	0011	深圳福田区沙嘴店	075100	深圳闭店	0	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550024	深圳_梁汉钢	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0012	深圳宝安区桃源居3店	F0755004	深圳_吴楚伟	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207510001	深圳闭店	0101	深圳	未分类	中档店	封闭店		非创新店	2009-01-02	0013	深圳南山区学府店	075100	深圳闭店	0	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550010	深圳_方茜	0101	深圳	未分类	中档店	加盟店		创新店	2009-01-01	0014	深圳福田区车公庙店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550009	深圳_吴少恭	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0015	深圳福田区金地店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550029	深圳_王靖	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0016	深圳罗湖区龙园山庄店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550029	深圳_王靖	0101	深圳	一级竞争常规门店	高档店	封闭店		非创新店	2009-01-01	0017	深圳福田区天然居店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550003	深圳_陈飞	0101	深圳	未分类	中档店	封闭店		非创新店	2009-01-01	0018	深圳宝安区三联路店	F0755008	深圳_刘易斯	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550040	深圳_周辉程	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0019	深圳宝安区深业新岸线店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550003	深圳_陈飞	0101	深圳	未分类	中档店	封闭店		非创新店	2009-01-01	0020	深圳宝安区风和日丽店	F0755008	深圳_刘易斯	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550014	深圳_柯孙发	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0021	深圳龙岗区茂盛路店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550030	深圳_唐镇伟	0101	深圳	未分类	高档店	其他		非创新店	2009-01-01	0022	深圳南山区西海湾店	F0755004	深圳_吴楚伟	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550030	深圳_唐镇伟	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0023	深圳南山区招商海月店	F0755004	深圳_吴楚伟	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207510001	深圳闭店	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0024	深圳罗湖区布心店	075100	深圳闭店	0	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550014	深圳_柯孙发	0101	深圳	未分类	尖高端店	封闭店		非创新店	2009-01-01	0025	深圳宝安区美丽365花园店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550030	深圳_唐镇伟	0101	深圳	未分类	中档店	封闭店		非创新店	2009-01-01	0026	深圳南山区阳光棕榈园店	F0755004	深圳_吴楚伟	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207510001	深圳闭店	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0027	深圳宝安区天骄店	075100	深圳闭店	0	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207550003	深圳_陈飞	0101	深圳	未分类	中档店	加盟店		非创新店	2009-01-01	0028	深圳宝安区东源阁店	F0755008	深圳_刘易斯	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550029	深圳_王靖	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0029	深圳福田区中信广场店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550010	深圳_方茜	0101	深圳	未分类	高档店	封闭店		创新店	2009-01-01	0030	深圳福田区碧海云天店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550024	深圳_梁汉钢	0101	深圳	未分类	中档店	封闭店		非创新店	2009-02-19	0031	深圳宝安区建安新村店	F0755004	深圳_吴楚伟	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550029	深圳_王靖	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0032	深圳福田区益田村店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550030	深圳_唐镇伟	0101	深圳	未分类	高档店	封闭店		非创新店	2009-01-01	0034	深圳南山区南山市场店	F0755004	深圳_吴楚伟	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207510001	深圳闭店	0101	深圳	未分类	未分类	其他		非创新店	2009-01-01	0036	深圳宝安区桃源居1店	075100	深圳闭店	0	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0107550029	深圳_王靖	0101	深圳	未分类	低档店	封闭店		非创新店	2009-01-01	0037	深圳福田区梅兴苑店	F0755003	深圳_陈应华	1	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207510001	深圳闭店	0101	深圳	未分类	未分类	其他		非创新店	2009-01-01	0038	深圳南山区缤纷店(停)	075100	深圳闭店	0	0	2022-04-20 04:26:58
1003	华南大区	szpszx	深圳配送中心	szpszx	深圳区	0207510001	深圳闭店	0101	深圳	未分类	未分类	其他		非创新店	2009-01-01	0039	深圳福田区莲花一村店	075100	深圳闭店	0	0	2022-04-20 04:26:58
